User,Date Created,Number of Likes,Source of Tweet,Tweets
LittleL_131,2023-06-01 18:16:56+00:00,0,,@SenChrisLarson @SenChrisLarson is a groomer!
luhbrix,2023-06-01 18:16:54+00:00,0,,@sylvan001 @testuser403 @RadiationRac_ @DiligentDenizen @AOCpress @catturd2 you call everyone you don’t like a groomer pedo that means nothing
realjimrussell,2023-06-01 18:16:53+00:00,0,,"@PerplxedChimera @Minedetector79D @lugeezy21 @TRHLofficial “These gays we put in positions of authority seem to be raping kids”
“Hey stop being homophobic”
Classic groomer response"
Polidar,2023-06-01 18:16:41+00:00,0,,@ckdizzle @GreggFiege @LauraTellsTruth @elonmusk Do you  really believe that or are you just a groomer?
VioletBEscapes,2023-06-01 18:16:38+00:00,0,,Groomer
haefnerk3,2023-06-01 18:16:30+00:00,0,,@JennaEllisEsq Groomer? https://t.co/pYkleXkWDI
AngelsFan1968,2023-06-01 18:16:23+00:00,0,,@RepRobertGarcia Groomer month…. Pitiful
MyocarditisMan,2023-06-01 18:16:23+00:00,0,,@jonallendc @NBCNews Says the Wasserman staffer.  You’re obviously unwell.  Groomer.
Fltr2009,2023-06-01 18:16:10+00:00,0,,@krassenstein You go groomer!
FuckoJoe,2023-06-01 18:15:52+00:00,0,,@GrahamAllen_1 As it should be.
EndrometaComet,2023-06-01 18:15:46+00:00,0,,dream is a groomer who's blocking everyone that speaks about his allegations
leftiewaaaghs,2023-06-01 18:15:37+00:00,0,,"@JDIYFR Lmao we just won’t shop there? You’re really clueless aren’t you? You do realize we have an entire app dedicated to avoiding groomer companies. That’s where we shop, eat and shit. The left could never"
xenochronus,2023-06-01 18:15:28+00:00,0,,"@MAKEnotMIKE @Theo_TJ_Jordan @autogynephilic Great, glad you can admit you're wrong and uninformed. That's a step.

And yes, you're right, sex education is the topic of discussion. Now if you'd like to make an argument about that topic, I'd be happy to address it. Let's see if you can do better than ""u groomer, lul"""
DScott337,2023-06-01 18:15:23+00:00,0,,@POTUS Ok groomer
Crispytendies00,2023-06-01 18:15:23+00:00,0,,@SirRanger76 @OranjeSiegrune @nypost Bye groomer https://t.co/mBaPcH8oCj
VioletBEscapes,2023-06-01 18:15:22+00:00,0,,Ok Groomer
GOVT_LIE_DETR,2023-06-01 18:15:21+00:00,0,,@SecretaryPete Ok groomer
DeplorableDojo,2023-06-01 18:15:19+00:00,0,,The groomer and child porn contingent is well represented by Texas Democrats. All means all right?
02slinger,2023-06-01 18:15:01+00:00,0,,@Vivixen20191 @JoeyMannarinoUS @peoplemag Trash
SirRanger76,2023-06-01 18:14:50+00:00,0,,@Crispytendies00 @OranjeSiegrune @nypost Says the child groomer.
EADJACK,2023-06-01 18:14:50+00:00,0,,"*Groomer Month

#GroomerMonth"
armypeax,2023-06-01 18:14:49+00:00,0,,@ButlerLonney @PierrePoilievre Groomer
KristiLynn830,2023-06-01 18:14:48+00:00,0,,@sharkzfanz @BLovesSoAL @ExposeDarkDeeds @hartgoat @eldohawks This isn’t isn’t sex ed but we found the groomer in this thread👏🏼🙄
halway616,2023-06-01 18:14:47+00:00,0,,now tell me they were being sarcastic or something because why on earth would anybody want a book about a second chance with a fucking groomer???? also i think it was already established that the “bitchy” sister turned out to not be a bitch afterall ??? https://t.co/nxrhDe8J0q
anti_deepstate,2023-06-01 18:14:42+00:00,0,,"@VioletBEscapes @EcoFashionByBG Trudeau wants the age of consent for anal sex to be dropped significantly, who are you calling a groomer"
smallbrownring,2023-06-01 18:14:41+00:00,0,,@jasonrantz 🚨Groomer Alert🚨
TylerRitenour,2023-06-01 18:14:35+00:00,0,,"@willcaronforHI @mookieplzhomer @Dodgers Deflection, I don't care about the preferences of pedophiles.

If a pedophile is trying to hurt kids i will gladly point it out

Teaching kids about sex and teaching them to be the opposite gender is groomer behavior"
SinglServngFrnd,2023-06-01 18:14:34+00:00,0,,@codyL @GovernorHobbs Says the groomer
King_Soroka,2023-06-01 18:14:31+00:00,0,,@CriticalCupcake @MattWalshBlog Ok groomer
lilkahlilah,2023-06-01 18:14:30+00:00,0,,I hate how society just forgot that elder abuse is a thing. Like let’s be real the 30to is probably the groomer here if anyone is
Udayksidhu,2023-06-01 18:14:29+00:00,0,,"@TorontoStar @GregorChisholm Pride Month is also Groomer Awareness Month.
Parents, round up your children and homeschool them on what grooming looks like and how to avoid it.Teach them to fight back if a stranger tries to touch them.Teach them that REAL teachers teach math, reading and writing,not butt plugs"
YVR_jules,2023-06-01 18:14:24+00:00,0,,@GrahamAllen_1 whatever you say groomer https://t.co/cERDs54fsw
HorseshitFromOp,2023-06-01 18:14:19+00:00,0,,"@RealUtahMan @schwatd2 @SergioVengeance @BadLegalTakes Lmao

Only 39% of American adult believe that drag should be banned - which is minority

And ""it has no value"" is just pure unfiltered copium from rightards like you

But what else can be excepted from pussy that censors ""groomer"" for some reason"
jackmehov10,2023-06-01 18:14:02+00:00,0,,@demaph @CHCHNews @SimoneGavros Groomer
ThomasManson420,2023-06-01 18:13:56+00:00,0,,@VrugginkKevin @BeckyNKOTB @Pestofthewest30 @JoeyMannarinoUS Yeah it only became that (and subsequently only funny) because of the vehement denials for 2+ years. It's ironic humor (and righteous/justified anger released without riots and violence; so cope harder. Happy groomer awareness month🌈
kroontwit,2023-06-01 18:13:46+00:00,0,,"@JandarSunstar69 @SmallSparkz @HappyCamperKat @libsoftiktok @GlamourMagUK Okay, groomer."
GarlicPaws,2023-06-01 18:13:30+00:00,0,,"For context: An assistant community manager was exposed as a pedo/groomer, saying some absolutely heinous shit and lost that position within 12 hours for it."
2_davos,2023-06-01 18:13:21+00:00,0,,@RepRobertGarcia Is that why you help pass the groomer pedo bill in Pediforina?
crocobites__,2023-06-01 18:13:16+00:00,0,,"At this point, falling in love with someone older or younger is a lose-lose situation. You're either being groomed or you're the groomer🤣🤣🤣"
StacyFort,2023-06-01 18:13:16+00:00,0,,@bladeedge861 @KristiNoem The only people who need to be kept a close watch on are those who scream gRoOmEr where there is no grooming. Here’s your “confession”. Maybe you’re the same since you want to go there.
BasedLight_year,2023-06-01 18:13:09+00:00,0,,@NexuDotSwag @Corbarrtate He's also a child groomer
jeffreyhinds14,2023-06-01 18:12:59+00:00,0,,@Sachinettiyil You are a pedophile and groomer
